,mmsi,vessel_proximity,timestamp
0,232345740,232006548,2023-03-15 00:30:00+00:00
1,875832716,232006548,2023-03-15 01:30:00+00:00
2,875832716,232345740,2023-03-15 01:30:00+00:00
3,875832716,218719092,2023-03-15 01:30:00+00:00
4,232345740,218719092,2023-03-15 01:30:00+00:00
5,232006548,232345740,2023-03-15 01:30:00+00:00
6,232006548,218719092,2023-03-15 01:30:00+00:00
7,218719092,875832716,2023-03-15 02:30:00+00:00
8,232006548,232345740,2023-03-15 02:30:00+00:00
9,232345740,218719092,2023-03-15 02:30:00+00:00
10,232006548,218719092,2023-03-15 02:30:00+00:00
11,889799564,232345740,2023-03-15 02:30:00+00:00
12,889799564,218719092,2023-03-15 02:30:00+00:00
13,232345740,875832716,2023-03-15 02:30:00+00:00
14,232006548,875832716,2023-03-15 02:30:00+00:00
15,232345740,218719092,2023-03-15 03:30:00+00:00
16,875832716,218719092,2023-03-15 03:30:00+00:00
17,232006548,232345740,2023-03-15 03:30:00+00:00
18,218719092,889799564,2023-03-15 03:30:00+00:00
19,232345740,889799564,2023-03-15 03:30:00+00:00
20,232006548,875832716,2023-03-15 03:30:00+00:00
21,232006548,218719092,2023-03-15 03:30:00+00:00
22,232345740,875832716,2023-03-15 03:30:00+00:00
23,218719092,889799564,2023-03-15 04:30:00+00:00
24,232006548,889799564,2023-03-15 04:30:00+00:00
25,889799564,232345740,2023-03-15 04:30:00+00:00
26,218719092,232006548,2023-03-15 04:30:00+00:00
27,218719092,232345740,2023-03-15 04:30:00+00:00
28,232006548,232345740,2023-03-15 04:30:00+00:00
29,218719092,875832716,2023-03-15 04:30:00+00:00
30,875832716,232345740,2023-03-15 04:30:00+00:00
31,232006548,875832716,2023-03-15 04:30:00+00:00
32,889799564,232006548,2023-03-15 05:30:00+00:00
33,875832716,232345740,2023-03-15 05:30:00+00:00
34,889799564,232345740,2023-03-15 05:30:00+00:00
35,232006548,218719092,2023-03-15 05:30:00+00:00
36,232345740,218719092,2023-03-15 05:30:00+00:00
37,232006548,875832716,2023-03-15 05:30:00+00:00
38,875832716,218719092,2023-03-15 05:30:00+00:00
39,889799564,218719092,2023-03-15 05:30:00+00:00
40,232006548,232345740,2023-03-15 05:30:00+00:00
41,218719092,889799564,2023-03-15 06:30:00+00:00
42,232345740,232006548,2023-03-15 06:30:00+00:00
43,232345740,889799564,2023-03-15 06:30:00+00:00
44,875832716,218719092,2023-03-15 06:30:00+00:00
45,875832716,232345740,2023-03-15 06:30:00+00:00
46,875832716,232006548,2023-03-15 06:30:00+00:00
47,218719092,232345740,2023-03-15 06:30:00+00:00
48,889799564,232006548,2023-03-15 06:30:00+00:00
49,218719092,232006548,2023-03-15 06:30:00+00:00
50,889799564,232006548,2023-03-15 07:30:00+00:00
51,218719092,232345740,2023-03-15 07:30:00+00:00
52,889799564,218719092,2023-03-15 07:30:00+00:00
53,889799564,232345740,2023-03-15 07:30:00+00:00
54,232006548,232345740,2023-03-15 07:30:00+00:00
55,218719092,875832716,2023-03-15 07:30:00+00:00
56,875832716,232006548,2023-03-15 07:30:00+00:00
57,875832716,232345740,2023-03-15 07:30:00+00:00
58,218719092,232006548,2023-03-15 07:30:00+00:00
59,232345740,232006548,2023-03-15 08:30:00+00:00
60,218719092,232006548,2023-03-15 08:30:00+00:00
61,889799564,218719092,2023-03-15 08:30:00+00:00
62,232006548,875832716,2023-03-15 08:30:00+00:00
63,232345740,218719092,2023-03-15 08:30:00+00:00
64,889799564,232345740,2023-03-15 08:30:00+00:00
65,232345740,875832716,2023-03-15 08:30:00+00:00
66,889799564,232006548,2023-03-15 08:30:00+00:00
67,218719092,875832716,2023-03-15 08:30:00+00:00
68,889799564,218719092,2023-03-15 09:30:00+00:00
69,218719092,232006548,2023-03-15 09:30:00+00:00
70,875832716,218719092,2023-03-15 09:30:00+00:00
71,232345740,232006548,2023-03-15 09:30:00+00:00
72,889799564,232345740,2023-03-15 09:30:00+00:00
73,875832716,232345740,2023-03-15 09:30:00+00:00
74,232345740,218719092,2023-03-15 09:30:00+00:00
75,889799564,232006548,2023-03-15 09:30:00+00:00
76,875832716,232006548,2023-03-15 09:30:00+00:00
77,232006548,889799564,2023-03-15 10:30:00+00:00
78,875832716,232006548,2023-03-15 10:30:00+00:00
79,232345740,875832716,2023-03-17 13:30:00+00:00
80,875832716,232006548,2023-03-22 13:30:00+00:00
81,875832716,232006548,2023-03-22 14:30:00+00:00
82,232006548,232345740,2023-03-22 15:30:00+00:00
83,232006548,875832716,2023-03-23 00:30:00+00:00
